gene_id,median_normal,median_tumor,shapiro_norm_pval,shapiro_tumor_pval,conj_shapiro,mannwhitney_pval,medians_equal_mw,wilcoxon_pval,medians_equal_wilcoxon,conj_tests
ENSG00000198406,11.0879,0.1866,1.526889048176916e-06,2.349921178267249e-39,False,2.0630150778638662e-97,False,,False,False
ENSG00000203414,0.056,0.0162,1.032026177852171e-18,6.9651834339427786e-40,False,5.1248386588766685e-19,False,,False,False
ENSG00000204434,0.8526,0.0128,1.8424301276634788e-23,2.0098241989607009e-44,False,1.1055278106670346e-99,False,,False,False
ENSG00000213018,1.8834,0.2958,1.7064835771159115e-25,1.179999161955988e-31,False,4.316401202077539e-79,False,,False,False
ENSG00000213025,5.8119,0.5458,5.579735812293474e-26,2.2990163467507637e-36,False,5.691251273040595e-63,False,,False,False
ENSG00000213026,2.4625,0.0,5.944164476617804e-08,9.872458910255972e-44,False,1.0413600389781954e-118,False,,False,False
ENSG00000213033,0.0,0.0,3.008392477085927e-19,4.814487536000398e-43,False,0.09457054634700181,True,,False,False
ENSG00000213036,1.0458,0.044,2.16371132014671e-24,1.510043350879937e-37,False,3.0631061115887715e-101,False,,False,False
ENSG00000213131,1.6674,0.2574,7.302375216262354e-15,1.6602705067694094e-26,False,2.4252713827802075e-89,False,,False,False
ENSG00000213137,0.1455,0.0,9.082079104911457e-27,1.990779083516156e-44,False,1.2960537979032316e-35,False,,False,False
ENSG00000213149,0.4499,0.1848,6.81562859942858e-16,8.836867053420037e-25,False,1.2605529135546557e-33,False,,False,False
ENSG00000213212,0.2937,0.1648,2.5816984201578682e-25,7.252219867511706e-49,False,1.2074911521220639e-15,False,,False,False
ENSG00000213222,5.5316,0.5708,1.1253208898149275e-14,9.45546315195131e-17,False,3.0557432722167965e-96,False,,False,False
ENSG00000213235,3.6549,0.0364,2.585457649740871e-10,8.37274107302216e-36,False,4.5476044136069715e-98,False,,False,False
ENSG00000213236,3.8873,0.103,1.7267119479403143e-18,3.735599576010278e-39,False,6.735910371094387e-98,False,,False,False
ENSG00000213237,1.5737,0.0,2.507175666620405e-15,3.832749232176068e-44,False,1.3967856532870898e-117,False,,False,False
ENSG00000213260,1.666,0.2525,4.93163978980013e-13,3.925691029852284e-38,False,3.0916263549925705e-80,False,,False,False
ENSG00000213277,0.1321,0.0346,2.0450890425752204e-27,1.0633012590607672e-37,False,8.815230138473258e-08,False,,False,False
ENSG00000213371,1.1087,0.0649,3.0825687932753488e-21,6.572979482933742e-33,False,3.4979075479506947e-97,False,,False,False
ENSG00000213409,0.4824,0.1643,1.615132467750521e-18,2.571928265563467e-36,False,8.91384162476234e-34,False,,False,False
ENSG00000213478,2.3097,0.0928,2.518342510272612e-16,6.498021879571553e-29,False,4.7140889466413965e-98,False,,False,False
ENSG00000213492,0.8107,0.1752,4.8335034658041015e-05,2.048529843159233e-25,False,2.0469449887159393e-77,False,,False,False
ENSG00000213514,0.3677,0.0206,1.6233410505619756e-19,3.699902933311362e-40,False,4.241428636350125e-90,False,,False,False
ENSG00000213574,2.7026,0.0821,4.801035746943794e-15,7.838697043737088e-33,False,6.390367966906514e-98,False,,False,False
ENSG00000213693,0.8654,0.2744,1.7455843000454977e-23,1.8644224586465433e-27,False,7.80344337798387e-57,False,,False,False
ENSG00000213701,0.1699,0.0,2.2989249332709592e-23,1.6213603260336315e-56,False,1.994127283000482e-92,False,,False,False
ENSG00000213713,7.0942,6.706,1.0218527949765665e-11,8.367473644086674e-27,False,0.9241058108229697,True,,False,False
ENSG00000213740,2.7437,0.0601,9.473624635488677e-08,1.9297044137440554e-37,False,4.972100200262926e-98,False,,False,False
ENSG00000213790,2.7975,0.176,6.258933699067391e-09,7.7901546784193395e-31,False,2.91427437337717e-97,False,,False,False
