gene_id,median_normal,median_tumor,shapiro_norm_pval,shapiro_tumor_pval,conj_shapiro,mannwhitney_pval,medians_equal_mw,wilcoxon_pval,medians_equal_wilcoxon,conj_tests
77,0.0365,0.5939,7.48233985522305e-53,2.2730374278325274e-14,False,5.01671313812033e-78,False,,False,False
78,0.0,0.3393,1.0703894857039907e-54,8.05880207332617e-27,False,6.65818315238963e-92,False,,False,False
79,0.4505,17.5652,6.745393269252985e-45,2.7431955047566165e-11,False,7.611236578096648e-105,False,,False,False
80,0.1727,2.877,4.306615302440506e-49,7.002614701372567e-25,False,2.357054452731805e-103,False,,False,False
81,2.575,1.5624,4.582835642139889e-32,3.217956949496532e-16,False,7.370953042628221e-08,False,,False,False
82,1.453,5.8491,8.565179119060855e-39,9.853130649919878e-05,False,6.2629984557087395e-93,False,,False,False
83,0.0,0.9438,1.3116219793694664e-52,2.217559355526834e-21,False,2.185326787282619e-124,False,,False,False
84,0.1218,0.4257,8.485902418696068e-43,7.049686519661852e-17,False,2.5096053736797283e-42,False,,False,False
85,0.1698,0.5479,1.3751297815859589e-52,1.396292476719468e-26,False,1.1401622184463408e-43,False,,False,False
86,16.93,78.4366,2.915900760495059e-31,3.809076427211628e-05,False,2.9177285649097604e-101,False,,False,False
87,0.1014,5.518,3.320648717574482e-51,1.2244316523224367e-07,False,1.1172172411170965e-108,False,,False,False
88,0.0,0.1511,2.6072677476575337e-50,2.5010126130299066e-22,False,8.607797560991077e-16,False,,False,False
89,0.0,0.0735,2.3750354633166293e-61,9.286067867152465e-22,False,5.6660303313292665e-81,False,,False,False
90,0.0,0.6636,6.652667886103725e-60,4.176355075454668e-12,False,4.724465668555376e-112,False,,False,False
91,0.0,0.3085,9.410369850154981e-57,1.2535268200959681e-26,False,2.596134473398713e-95,False,,False,False
92,0.1492,0.3907,4.165010182733985e-50,8.85696929572513e-28,False,8.965673524144363e-32,False,,False,False
93,0.0168,0.0596,1.039111210910935e-58,2.9274896385680004e-15,False,2.0890968700024688e-09,False,,False,False
94,0.0147,0.1533,7.393578656289638e-64,6.525342932371119e-16,False,1.205346582942099e-53,False,,False,False
95,0.0,0.0,7.875940223232385e-59,4.932657219261929e-24,False,4.1778580218446887e-13,False,,False,False
96,0.0,0.2067,8.458229983082577e-62,1.6641703826631155e-17,False,1.6461620244236593e-124,False,,False,False
97,0.1725,4.7595,1.989401562830562e-38,4.8285443739474396e-14,False,7.563708307658998e-105,False,,False,False
98,0.0475,3.4707,2.7641364827889377e-53,4.813319237840286e-12,False,2.529970176065642e-105,False,,False,False
99,0.0936,4.8013,1.6822632777189238e-49,0.02471062643911338,False,1.9565420433363666e-106,False,,False,False
100,0.3446,3.2038,3.0300880651171677e-54,1.4004560985795522e-11,False,2.382064005151109e-98,False,,False,False
101,0.0,0.321,8.36817774697948e-53,4.86845313146716e-24,False,1.875304433892176e-112,False,,False,False
102,0.3829,0.4578,2.1474389324796272e-38,7.385685042923224e-26,False,0.0030125700597163317,False,,False,False
103,0.0,0.0,5.067053042042885e-61,1.416809076320311e-22,False,0.0006648926243153322,False,,False,False
104,0.0,0.3032,9.859673539961684e-51,1.205280491781159e-15,False,7.131536562418652e-87,False,,False,False
105,0.0705,0.7927,4.687734636028055e-47,2.6002469413974702e-17,False,1.9552529539560564e-98,False,,False,False
106,0.0,0.2468,2.108111778533485e-66,2.5230405734208018e-24,False,7.055194920297869e-139,False,,False,False
107,0.0,0.0839,1.7651736039032117e-62,7.147379643637905e-14,False,8.233826730678783e-116,False,,False,False
108,0.1124,0.0282,3.4692297342665866e-42,6.716189775833711e-21,False,1.1375838814012145e-18,False,,False,False
109,0.0,0.9693,1.1087847633419508e-54,3.272021143267243e-26,False,3.891114531333112e-104,False,,False,False
110,0.141,0.1386,4.704190883712159e-34,2.4520865940413977e-28,False,0.4636824232115787,True,,False,False
111,1.973,18.9285,3.210039735456596e-36,2.681583380628431e-09,False,1.3713605639293855e-104,False,,False,False
112,0.4091,4.6736,1.0409628494293395e-34,0.0014733682926876476,False,3.845865473514663e-104,False,,False,False
113,0.1043,0.3315,1.950473313935639e-49,1.3419918413719236e-26,False,1.0269458531984896e-23,False,,False,False
114,0.3722,1.3816,6.049812305121885e-35,1.171501506350874e-13,False,9.015173539422168e-69,False,,False,False
115,0.0609,0.4944,4.496896005573959e-46,3.56888327588531e-27,False,5.5092218944759075e-65,False,,False,False
116,0.3114,0.6398,7.728264212516806e-39,3.24879696255143e-17,False,2.905571610119262e-29,False,,False,False
117,0.0143,0.6264,4.937848490029105e-52,1.907338429735601e-10,False,3.0025773946123026e-112,False,,False,False
118,2.971,4.7461,2.4790001709138744e-35,3.1506213106092966e-14,False,1.456671217458311e-16,False,,False,False
119,1.274,7.7078,3.7803645507085667e-62,1.887267302229742e-09,False,3.3389659622486743e-103,False,,False,False
120,0.0937,0.2907,1.1650942903484541e-36,2.4681723578728903e-26,False,5.483643330927774e-35,False,,False,False
121,0.1696,0.197,4.317721296663884e-41,4.396586714204967e-21,False,0.24339322333146762,True,,False,False
122,5.342,1.8931,1.9586431619648583e-24,2.762770676438259e-07,False,2.6711475828344436e-77,False,,False,False
123,0.0,0.0387,4.420534451193784e-70,1.1099403043280105e-22,False,8.304846127298396e-135,False,,False,False
